Date,Shift,Attendees,MealsPrepared,MealsConsumed,MealsWasted,WastePercent,CostPerMeal,TotalCost,WastageCost,HistoricalAvgMeals
2026-01-13,B,112,121,92,29,23.96694214876033,40,4840,1160,143.91666666666666
2026-01-13,C,133,143,109,34,23.776223776223777,40,5720,1360,157.25
2026-01-14,A,128,136,115,21,15.441176470588236,40,5440,840,162.15384615384616
2026-01-14,B,117,134,106,28,20.8955223880597,40,5360,1120,142.15384615384616
2026-01-14,C,134,152,108,44,28.947368421052634,38,5776,1672,156.15384615384616
2026-01-15,A,127,135,103,32,23.703703703703706,38,5130,1216,160.28571428571428
2026-01-15,B,113,121,106,15,12.396694214876034,38,4598,570,141.57142857142858
2026-01-15,C,128,145,103,42,28.965517241379313,38,5510,1596,155.85714285714286
2026-01-16,A,141,149,132,17,11.409395973154362,32,4768,544,158.6
2026-01-16,B,108,118,88,30,25.423728813559322,32,3776,960,140.2
2026-01-16,C,130,147,109,38,25.850340136054424,40,5880,1520,155.13333333333333
2026-01-17,A,124,140,117,23,16.428571428571427,32,4480,736,158.0
2026-01-17,B,116,126,102,24,19.047619047619047,32,4032,768,138.8125
2026-01-17,C,121,136,104,32,23.52941176470588,35,4760,1120,154.625
2026-01-18,A,107,118,93,25,21.1864406779661,38,4484,950,156.94117647058823
2026-01-18,B,77,89,68,21,23.595505617977526,40,3560,840,138.05882352941177
2026-01-18,C,89,103,81,22,21.35922330097087,32,3296,704,153.52941176470588
2026-01-19,A,165,181,155,26,14.3646408839779,35,6335,910,154.77777777777777
2026-01-19,B,146,156,121,35,22.435897435897438,32,4992,1120,135.33333333333334
2026-01-19,C,160,177,146,31,17.51412429378531,35,6195,1085,150.72222222222223
2026-01-20,A,162,181,145,36,19.88950276243094,32,5792,1152,156.1578947368421
2026-01-20,B,129,139,113,26,18.705035971223023,40,5560,1040,136.42105263157896
2026-01-20,C,165,188,135,53,28.191489361702125,35,6580,1855,152.10526315789474
2026-01-21,A,159,178,133,45,25.280898876404496,38,6764,1710,157.4
2026-01-21,B,133,150,120,30,20.0,38,5700,1140,136.55
2026-01-21,C,155,176,134,42,23.863636363636363,38,6688,1596,153.9
2026-01-22,A,181,196,164,32,16.3265306122449,35,6860,1120,158.38095238095238
2026-01-22,B,138,151,111,40,26.490066225165563,32,4832,1280,137.1904761904762
2026-01-22,C,157,175,146,29,16.57142857142857,38,6650,1102,154.95238095238096
2026-01-23,A,173,195,145,50,25.64102564102564,35,6825,1750,160.0909090909091
2026-01-23,B,133,147,121,26,17.687074829931973,38,5586,988,137.8181818181818
2026-01-23,C,155,168,129,39,23.214285714285715,32,5376,1248,155.86363636363637
2026-01-24,A,163,181,134,47,25.96685082872928,35,6335,1645,161.6086956521739
2026-01-24,B,144,158,127,31,19.62025316455696,32,5056,992,138.2173913043478
2026-01-24,C,153,162,142,20,12.345679012345679,38,6156,760,156.3913043478261
2026-01-25,A,91,97,76,21,21.649484536082475,38,3686,798,162.41666666666666
2026-01-25,B,86,97,72,25,25.773195876288657,38,3686,950,139.04166666666666
2026-01-25,C,89,97,82,15,15.463917525773196,40,3880,600,156.625
2026-01-26,A,174,199,165,34,17.08542713567839,32,6368,1088,159.8
2026-01-26,B,129,143,111,32,22.377622377622377,35,5005,1120,137.36
2026-01-26,C,150,162,140,22,13.580246913580247,40,6480,880,154.24
2026-01-27,A,156,170,137,33,19.411764705882355,35,5950,1155,161.30769230769232
2026-01-27,B,149,169,139,30,17.75147928994083,35,5915,1050,137.57692307692307
2026-01-27,C,159,178,141,37,20.786516853932586,32,5696,1184,154.53846153846155
2026-01-28,A,161,170,140,30,17.647058823529413,35,5950,1050,161.62962962962962
2026-01-28,B,147,165,132,33,20.0,32,5280,1056,138.74074074074073
2026-01-28,C,144,163,126,37,22.699386503067483,35,5705,1295,155.40740740740742
2026-01-29,A,162,183,139,44,24.043715846994534,35,6405,1540,161.92857142857142
2026-01-29,B,138,147,125,22,14.965986394557824,35,5145,770,139.67857142857142
2026-01-29,C,156,170,130,40,23.52941176470588,35,5950,1400,155.67857142857142
2026-01-30,A,150,165,135,30,18.181818181818183,38,6270,1140,162.6551724137931
2026-01-30,B,142,164,134,30,18.29268292682927,38,6232,1140,139.93103448275863
2026-01-30,C,159,183,134,49,26.775956284153008,32,5856,1568,156.17241379310346
2026-01-31,A,171,186,153,33,17.741935483870968,38,7068,1254,162.73333333333332
2026-01-31,B,137,150,127,23,15.333333333333332,40,6000,920,140.73333333333332
2026-01-31,C,156,171,126,45,26.31578947368421,35,5985,1575,157.06666666666666
2026-02-01,A,104,115,92,23,20.0,38,4370,874,162.73333333333332
2026-02-01,B,70,81,66,15,18.51851851851852,40,3240,600,140.7
2026-02-01,C,100,107,89,18,16.822429906542055,38,4066,684,157.33333333333334
2026-02-02,A,159,178,141,37,20.786516853932586,38,6764,1406,160.66666666666666
2026-02-02,B,150,172,134,38,22.093023255813954,38,6536,1444,138.06666666666666
2026-02-02,C,144,152,132,20,13.157894736842104,38,5776,760,155.0
2026-02-03,A,160,184,137,47,25.543478260869566,38,6992,1786,160.93333333333334
2026-02-03,B,150,165,124,41,24.848484848484848,38,6270,1558,138.56666666666666
2026-02-03,C,154,167,126,41,24.550898203592812,40,6680,1640,154.26666666666668
2026-02-04,A,171,189,140,49,25.925925925925924,32,6048,1568,163.26666666666668
2026-02-04,B,132,148,107,41,27.7027027027027,40,5920,1640,141.0
2026-02-04,C,164,184,140,44,23.91304347826087,35,6440,1540,156.26666666666668
2026-02-05,A,158,181,129,52,28.7292817679558,32,5792,1664,163.76666666666668
2026-02-05,B,138,151,128,23,15.2317880794702,32,4832,736,140.5
2026-02-05,C,157,176,138,38,21.59090909090909,40,7040,1520,156.6
2026-02-06,A,168,193,147,46,23.83419689119171,40,7720,1840,164.3
2026-02-06,B,141,150,114,36,24.0,35,5250,1260,139.93333333333334
2026-02-06,C,158,172,130,42,24.418604651162788,38,6536,1596,156.63333333333333
2026-02-07,A,162,185,151,34,18.37837837837838,38,7030,1292,165.06666666666666
2026-02-07,B,144,158,125,33,20.88607594936709,35,5530,1155,139.43333333333334
2026-02-07,C,159,179,134,45,25.139664804469277,35,6265,1575,156.4
2026-02-08,A,105,114,86,28,24.561403508771928,35,3990,980,165.16666666666666
2026-02-08,B,81,90,68,22,24.444444444444443,38,3420,836,139.66666666666666
2026-02-08,C,87,97,77,20,20.618556701030926,38,3686,760,156.7
2026-02-09,A,160,171,151,20,11.695906432748536,38,6498,760,162.9
2026-02-09,B,138,157,113,44,28.02547770700637,38,5966,1672,137.83333333333334
2026-02-09,C,163,175,153,22,12.571428571428573,40,7000,880,154.16666666666666
2026-02-10,A,155,165,130,35,21.21212121212121,35,5775,1225,162.76666666666668
2026-02-10,B,147,159,137,22,13.836477987421384,35,5565,770,137.56666666666666
2026-02-10,C,152,163,144,19,11.65644171779141,35,5705,665,154.3
2026-02-11,A,167,181,139,42,23.204419889502763,32,5792,1344,164.3
2026-02-11,B,150,163,131,32,19.631901840490798,32,5216,1024,139.86666666666667
2026-02-11,C,153,170,126,44,25.882352941176475,35,5950,1540,156.43333333333334
2026-02-12,A,156,172,131,41,23.837209302325583,35,6020,1435,165.36666666666667
2026-02-12,B,135,150,122,28,18.666666666666668,32,4800,896,141.3
2026-02-12,C,166,176,148,28,15.909090909090908,32,5632,896,157.93333333333334
2026-02-13,A,163,174,142,32,18.39080459770115,32,5568,1024,166.26666666666668
2026-02-13,B,140,149,124,25,16.778523489932887,32,4768,800,142.26666666666668
2026-02-13,C,166,175,157,18,10.285714285714285,38,6650,684,159.03333333333333
2026-02-14,A,164,174,132,42,24.137931034482758,35,6090,1470,167.53333333333333
2026-02-14,B,136,146,120,26,17.80821917808219,35,5110,910,142.76666666666668
2026-02-14,C,155,174,141,33,18.96551724137931,35,6090,1155,159.8
2026-02-15,A,102,114,89,25,21.929824561403507,35,3990,875,168.83333333333334
2026-02-15,B,84,89,75,14,15.730337078651685,40,3560,560,143.6
2026-02-15,C,91,105,85,20,19.047619047619047,38,3990,760,160.76666666666668
2026-02-16,A,153,162,145,17,10.493827160493826,35,5670,595,167.66666666666666
2026-02-16,B,147,168,128,40,23.809523809523807,32,5376,1280,142.63333333333333
2026-02-16,C,160,170,133,37,21.764705882352942,35,5950,1295,159.36666666666667
2026-02-17,A,163,173,130,43,24.85549132947977,40,6920,1720,168.4
2026-02-17,B,145,165,123,42,25.454545454545453,38,6270,1596,144.03333333333333
2026-02-17,C,158,177,130,47,26.55367231638418,38,6726,1786,160.5
2026-02-18,A,162,174,137,37,21.26436781609195,40,6960,1480,170.23333333333332
2026-02-18,B,136,155,128,27,17.419354838709676,32,4960,864,146.56666666666666
2026-02-18,C,163,179,133,46,25.69832402234637,40,7160,1840,162.96666666666667
2026-02-19,A,156,165,131,34,20.606060606060606,32,5280,1088,170.0
2026-02-19,B,140,154,121,33,21.428571428571427,38,5852,1254,146.53333333333333
2026-02-19,C,169,192,153,39,20.3125,35,6720,1365,163.03333333333333
2026-02-20,A,169,194,153,41,21.1340206185567,32,6208,1312,169.46666666666667
2026-02-20,B,145,154,119,35,22.727272727272727,38,5852,1330,147.03333333333333
2026-02-20,C,146,155,136,19,12.258064516129032,38,5890,722,163.16666666666666
2026-02-21,A,150,166,129,37,22.289156626506024,40,6640,1480,170.0
2026-02-21,B,148,169,128,41,24.2603550295858,38,6422,1558,147.16666666666666
2026-02-21,C,162,186,142,44,23.655913978494624,32,5952,1408,162.46666666666667
2026-02-22,A,102,113,94,19,16.8141592920354,38,4294,722,169.0
2026-02-22,B,95,106,89,17,16.037735849056602,32,3392,544,147.76666666666668
2026-02-22,C,88,100,77,23,23.0,40,4000,920,162.83333333333334
2026-02-23,A,170,180,153,27,15.0,35,6300,945,166.26666666666668
2026-02-23,B,136,146,113,33,22.602739726027394,35,5110,1155,146.4
2026-02-23,C,165,183,147,36,19.672131147540984,35,6405,1260,160.56666666666666
2026-02-24,A,166,191,155,36,18.848167539267017,35,6685,1260,166.23333333333332
2026-02-24,B,141,158,116,42,26.582278481012654,38,6004,1596,146.0
2026-02-24,C,150,163,135,28,17.177914110429448,32,5216,896,161.26666666666668
2026-02-25,A,166,176,146,30,17.045454545454543,35,6160,1050,169.36666666666667
2026-02-25,B,142,151,132,19,12.582781456953644,35,5285,665,148.03333333333333
2026-02-25,C,157,170,144,26,15.294117647058824,40,6800,1040,163.46666666666667
2026-02-26,A,167,176,142,34,19.318181818181817,32,5632,1088,168.6
2026-02-26,B,142,161,131,30,18.633540372670808,32,5152,960,148.3
2026-02-26,C,155,174,138,36,20.689655172413794,35,6090,1260,163.73333333333332
2026-02-27,A,169,188,139,49,26.063829787234045,40,7520,1960,168.8
2026-02-27,B,133,153,124,29,18.954248366013072,32,4896,928,148.03333333333333
2026-02-27,C,150,167,134,33,19.760479041916167,32,5344,1056,163.6
2026-02-28,A,161,176,135,41,23.295454545454543,38,6688,1558,169.4
2026-02-28,B,135,156,124,32,20.51282051282051,35,5460,1120,147.63333333333333
2026-02-28,C,163,175,150,25,14.285714285714285,38,6650,950,163.73333333333332
2026-03-01,A,94,107,78,29,27.102803738317753,38,4066,1102,169.16666666666666
2026-03-01,B,86,91,72,19,20.87912087912088,38,3458,722,147.93333333333334
2026-03-01,C,99,111,83,28,25.225225225225223,32,3552,896,163.9
2026-03-02,A,165,185,133,52,28.10810810810811,32,5920,1664,167.23333333333332
2026-03-02,B,136,151,127,24,15.894039735099339,40,6040,960,145.5
2026-03-02,C,164,177,140,37,20.903954802259886,38,6726,1406,161.5
2026-03-03,A,165,189,153,36,19.047619047619047,38,7182,1368,167.2
2026-03-03,B,136,151,114,37,24.503311258278146,35,5285,1295,145.53333333333333
2026-03-03,C,168,188,156,32,17.02127659574468,32,6016,1024,161.7
2026-03-04,A,162,178,146,32,17.97752808988764,38,6764,1216,169.66666666666666
2026-03-04,B,140,148,130,18,12.162162162162163,32,4736,576,147.86666666666667
2026-03-04,C,158,169,144,25,14.792899408284024,40,6760,1000,164.4
2026-03-05,A,149,162,136,26,16.049382716049383,35,5670,910,169.66666666666666
2026-03-05,B,111,126,90,36,28.57142857142857,40,5040,1440,147.06666666666666
2026-03-05,C,123,134,112,22,16.417910447761194,32,4288,704,164.96666666666667
2026-03-06,A,130,147,111,36,24.489795918367346,35,5145,1260,168.93333333333334
2026-03-06,B,125,138,113,25,18.115942028985508,38,5244,950,145.76666666666668
2026-03-06,C,121,139,106,33,23.741007194244602,40,5560,1320,163.86666666666667
2026-03-07,A,128,143,103,40,27.972027972027973,38,5434,1520,167.53333333333333
2026-03-07,B,112,120,96,24,20.0,32,3840,768,145.43333333333334
2026-03-07,C,137,145,116,29,20.0,40,5800,1160,162.36666666666667
2026-03-08,A,82,90,67,23,25.555555555555554,40,3600,920,166.26666666666668
2026-03-08,B,77,85,71,14,16.470588235294116,38,3230,532,144.4
2026-03-08,C,102,112,82,30,26.785714285714285,32,3584,960,161.33333333333334
2026-03-09,A,137,151,112,39,25.82781456953642,35,5285,1365,162.83333333333334
2026-03-09,B,111,124,88,36,29.03225806451613,38,4712,1368,142.23333333333332
2026-03-09,C,130,139,109,30,21.58273381294964,38,5282,1140,159.33333333333334
2026-03-10,A,131,142,122,20,14.084507042253522,40,5680,800,161.7
2026-03-10,B,112,125,90,35,28.000000000000004,35,4375,1225,141.1
2026-03-10,C,124,135,111,24,17.77777777777778,32,4320,768,158.0
2026-03-11,A,132,140,105,35,25.0,40,5600,1400,162.63333333333333
2026-03-11,B,107,121,90,31,25.6198347107438,35,4235,1085,142.26666666666668
2026-03-11,C,139,157,119,38,24.203821656050955,32,5024,1216,159.26666666666668
2026-03-12,A,163,184,131,53,28.804347826086957,38,6992,2014,161.6
2026-03-12,B,141,152,114,38,25.0,35,5320,1330,141.06666666666666
2026-03-12,C,156,165,143,22,13.333333333333334,38,6270,836,158.66666666666666
2026-03-13,A,156,170,144,26,15.294117647058824,32,5440,832,162.23333333333332
2026-03-13,B,153,176,125,51,28.97727272727273,40,7040,2040,140.83333333333334
2026-03-13,C,150,164,141,23,14.02439024390244,35,5740,805,158.73333333333332
2026-03-14,A,173,190,150,40,21.052631578947366,40,7600,1600,161.86666666666667
2026-03-14,B,136,154,123,31,20.12987012987013,32,4928,992,141.26666666666668
2026-03-14,C,156,179,130,49,27.37430167597765,40,7160,1960,158.53333333333333
2026-03-15,A,97,103,83,20,19.41747572815534,38,3914,760,162.46666666666667
2026-03-15,B,80,90,65,25,27.77777777777778,32,2880,800,141.4
2026-03-15,C,96,106,87,19,17.92452830188679,35,3710,665,158.63333333333333
2026-03-16,A,166,185,136,49,26.486486486486488,35,6475,1715,160.1
2026-03-16,B,150,171,121,50,29.239766081871345,38,6498,1900,139.43333333333334
2026-03-16,C,145,157,136,21,13.375796178343949,40,6280,840,156.33333333333334
2026-03-17,A,159,172,145,27,15.69767441860465,38,6536,1026,160.46666666666667
2026-03-17,B,141,156,131,25,16.025641025641026,40,6240,1000,140.26666666666668
2026-03-17,C,161,175,137,38,21.714285714285715,40,7000,1520,155.76666666666668
2026-03-18,A,170,189,147,42,22.22222222222222,35,6615,1470,162.4
2026-03-18,B,146,167,129,38,22.75449101796407,38,6346,1444,142.5
2026-03-18,C,149,169,119,50,29.585798816568047,35,5915,1750,158.1
2026-03-19,A,158,171,127,44,25.730994152046783,32,5472,1408,163.3
2026-03-19,B,155,168,142,26,15.476190476190476,35,5880,910,142.46666666666667
2026-03-19,C,149,165,131,34,20.606060606060606,32,5280,1088,158.06666666666666
2026-03-20,A,153,166,144,22,13.253012048192772,38,6308,836,163.23333333333332
2026-03-20,B,148,167,118,49,29.34131736526946,35,5845,1715,142.56666666666666
2026-03-20,C,162,179,149,30,16.75977653631285,35,6265,1050,157.66666666666666
2026-03-21,A,165,183,139,44,24.043715846994534,32,5856,1408,162.96666666666667
2026-03-21,B,139,152,128,24,15.789473684210526,35,5320,840,142.96666666666667
2026-03-21,C,155,168,133,35,20.833333333333336,35,5880,1225,157.66666666666666
2026-03-22,A,98,109,84,25,22.93577981651376,35,3815,875,163.56666666666666
2026-03-22,B,87,97,77,20,20.618556701030926,38,3686,760,142.9
2026-03-22,C,100,106,90,16,15.09433962264151,38,4028,608,156.86666666666667
2026-03-23,A,164,184,146,38,20.652173913043477,40,7360,1520,160.73333333333332
2026-03-23,B,139,148,116,32,21.62162162162162,32,4736,1024,141.0
2026-03-23,C,140,156,124,32,20.51282051282051,38,5928,1216,155.23333333333332
2026-03-24,A,159,176,131,45,25.568181818181817,32,5632,1440,161.33333333333334
2026-03-24,B,137,148,109,39,26.351351351351347,38,5624,1482,140.3
2026-03-24,C,151,161,136,25,15.527950310559005,32,5152,800,154.23333333333332
2026-03-25,A,141,160,125,35,21.875,32,5120,1120,163.43333333333334
2026-03-25,B,144,157,128,29,18.471337579617835,38,5966,1102,141.7
2026-03-25,C,171,181,160,21,11.602209944751381,40,7240,840,156.26666666666668
2026-03-26,A,159,179,146,33,18.435754189944134,32,5728,1056,162.76666666666668
2026-03-26,B,141,152,117,35,23.026315789473685,35,5320,1225,142.06666666666666
2026-03-26,C,165,183,133,50,27.322404371584703,38,6954,1900,156.2
2026-03-27,A,156,174,136,38,21.839080459770116,38,6612,1444,162.36666666666667
2026-03-27,B,143,164,125,39,23.78048780487805,40,6560,1560,141.86666666666667
2026-03-27,C,162,180,147,33,18.333333333333332,32,5760,1056,156.86666666666667
2026-03-28,A,143,161,134,27,16.77018633540373,32,5152,864,162.3
2026-03-28,B,146,155,129,26,16.7741935483871,40,6200,1040,142.3
2026-03-28,C,159,171,143,28,16.374269005847953,32,5472,896,157.2
2026-03-29,A,90,103,80,23,22.330097087378643,40,4120,920,161.8
2026-03-29,B,85,94,71,23,24.46808510638298,35,3290,805,142.1
2026-03-29,C,94,108,77,31,28.703703703703702,40,4320,1240,157.1
2026-03-30,A,160,182,139,43,23.626373626373624,38,6916,1634,158.96666666666667
2026-03-30,B,144,162,126,36,22.22222222222222,38,6156,1368,140.13333333333333
2026-03-30,C,152,172,136,36,20.930232558139537,38,6536,1368,155.13333333333333
2026-03-31,A,161,173,137,36,20.809248554913296,40,6920,1440,159.16666666666666
2026-03-31,B,148,166,134,32,19.27710843373494,32,5312,1024,140.33333333333334
2026-03-31,C,152,160,139,21,13.125,35,5600,735,155.03333333333333
2026-04-01,A,167,184,133,51,27.717391304347828,40,7360,2040,161.36666666666667
2026-04-01,B,132,139,124,15,10.79136690647482,38,5282,570,142.83333333333334
2026-04-01,C,159,181,132,49,27.071823204419886,38,6878,1862,156.66666666666666
2026-04-02,A,155,171,146,25,14.619883040935672,40,6840,1000,161.33333333333334
2026-04-02,B,145,166,134,32,19.27710843373494,32,5312,1024,142.43333333333334
2026-04-02,C,167,176,142,34,19.318181818181817,35,6160,1190,156.8
2026-04-03,A,160,184,140,44,23.91304347826087,32,5888,1408,160.73333333333332
2026-04-03,B,142,161,119,42,26.08695652173913,40,6440,1680,142.93333333333334
2026-04-03,C,164,175,147,28,16.0,40,7000,1120,156.4
2026-04-04,A,164,186,134,52,27.956989247311824,32,5952,1664,160.93333333333334
2026-04-04,B,144,161,134,27,16.77018633540373,35,5635,945,143.36666666666667
2026-04-04,C,153,163,125,38,23.31288343558282,32,5216,1216,156.6
2026-04-05,A,96,110,80,30,27.27272727272727,32,3520,960,161.73333333333332
2026-04-05,B,87,100,75,25,25.0,38,3800,950,144.53333333333333
2026-04-05,C,79,90,71,19,21.11111111111111,35,3150,665,157.56666666666666
2026-04-06,A,163,174,131,43,24.71264367816092,35,6090,1505,160.5
2026-04-06,B,146,166,129,37,22.289156626506024,35,5810,1295,143.26666666666668
2026-04-06,C,147,168,119,49,29.166666666666668,32,5376,1568,155.93333333333334
2026-04-07,A,165,189,155,34,17.989417989417987,32,6048,1088,161.53333333333333
2026-04-07,B,138,158,125,33,20.88607594936709,32,5056,1056,144.8
2026-04-07,C,166,176,155,21,11.931818181818182,35,6160,735,156.7
2026-04-08,A,159,172,142,30,17.441860465116278,40,6880,1200,164.83333333333334
2026-04-08,B,138,147,110,37,25.170068027210885,32,4704,1184,147.23333333333332
2026-04-08,C,164,175,140,35,20.0,38,6650,1330,158.83333333333334
2026-04-09,A,166,180,157,23,12.777777777777777,32,5760,736,165.53333333333333
2026-04-09,B,145,161,117,44,27.32919254658385,38,6118,1672,148.0
2026-04-09,C,159,175,132,43,24.571428571428573,40,7000,1720,160.03333333333333
2026-04-10,A,178,202,152,50,24.752475247524753,32,6464,1600,166.8
2026-04-10,B,140,158,132,26,16.455696202531644,32,5056,832,149.2
2026-04-10,C,145,154,132,22,14.285714285714285,38,5852,836,161.36666666666667
2026-04-11,A,123,130,110,20,15.384615384615385,32,4160,640,168.86666666666667
2026-04-11,B,118,134,95,39,29.1044776119403,32,4288,1248,150.43333333333334
2026-04-11,C,132,152,113,39,25.657894736842106,38,5776,1482,161.26666666666668
2026-04-12,A,95,102,85,17,16.666666666666664,40,4080,680,167.06666666666666
2026-04-12,B,86,99,76,23,23.232323232323232,35,3465,805,149.83333333333334
2026-04-12,C,93,103,86,17,16.50485436893204,40,4120,680,160.83333333333334
2026-04-13,A,124,141,115,26,18.439716312056735,38,5358,988,164.8
2026-04-13,B,106,116,99,17,14.655172413793101,40,4640,680,147.26666666666668
2026-04-13,C,114,127,104,23,18.11023622047244,32,4064,736,158.8
2026-04-14,A,124,141,112,29,20.56737588652482,35,4935,1015,163.16666666666666
2026-04-14,B,114,130,104,26,20.0,40,5200,1040,146.0
2026-04-14,C,138,155,127,28,18.064516129032256,32,4960,896,157.06666666666666
2026-04-15,A,130,140,117,23,16.428571428571427,35,4900,805,164.43333333333334
2026-04-15,B,124,137,111,26,18.97810218978102,35,4795,910,147.33333333333334
2026-04-15,C,128,141,113,28,19.858156028368796,38,5358,1064,158.7
2026-04-16,A,131,142,110,32,22.535211267605636,35,4970,1120,162.93333333333334
2026-04-16,B,115,124,108,16,12.903225806451612,35,4340,560,146.2
2026-04-16,C,132,149,112,37,24.832214765100673,35,5215,1295,158.16666666666666
2026-04-17,A,139,154,131,23,14.935064935064934,32,4928,736,161.93333333333334
2026-04-17,B,111,123,90,33,26.82926829268293,38,4674,1254,145.13333333333333
2026-04-17,C,138,150,112,38,25.333333333333336,32,4800,1216,157.3
2026-04-18,A,164,183,148,35,19.12568306010929,38,6954,1330,160.76666666666668
2026-04-18,B,137,154,111,43,27.92207792207792,38,5852,1634,143.66666666666666
2026-04-18,C,162,177,131,46,25.98870056497175,40,7080,1840,156.66666666666666
2026-04-19,A,87,95,80,15,15.789473684210526,32,3040,480,161.16666666666666
2026-04-19,B,87,94,75,19,20.212765957446805,40,3760,760,143.2
2026-04-19,C,79,86,63,23,26.744186046511626,38,3268,874,157.06666666666666
2026-04-20,A,166,182,136,46,25.274725274725274,40,7280,1840,158.8
2026-04-20,B,142,157,126,31,19.745222929936308,35,5495,1085,140.76666666666668
2026-04-20,C,151,171,142,29,16.95906432748538,38,6498,1102,153.96666666666667
2026-04-21,A,162,173,148,25,14.450867052023122,35,6055,875,158.76666666666668
2026-04-21,B,136,149,129,20,13.422818791946309,40,5960,800,140.93333333333334
2026-04-21,C,159,174,136,38,21.839080459770116,38,6612,1444,154.06666666666666
2026-04-22,A,163,173,153,20,11.560693641618498,35,6055,700,160.9
2026-04-22,B,150,158,135,23,14.556962025316455,40,6320,920,142.66666666666666
2026-04-22,C,151,164,140,24,14.634146341463413,38,6232,912,156.33333333333334
2026-04-23,A,169,192,142,50,26.041666666666668,38,7296,1900,160.53333333333333
2026-04-23,B,138,147,125,22,14.965986394557824,40,5880,880,143.0
2026-04-23,C,152,167,132,35,20.958083832335326,38,6346,1330,156.6
2026-04-24,A,161,184,146,38,20.652173913043477,40,7360,1520,161.06666666666666
2026-04-24,B,141,159,118,41,25.78616352201258,38,6042,1558,142.96666666666667
2026-04-24,C,151,172,136,36,20.930232558139537,35,6020,1260,156.8
2026-04-25,A,170,187,144,43,22.994652406417114,38,7106,1634,161.86666666666667
2026-04-25,B,134,143,122,21,14.685314685314685,40,5720,840,143.03333333333333
2026-04-25,C,158,169,148,21,12.42603550295858,40,6760,840,156.5
2026-04-26,A,97,106,83,23,21.69811320754717,38,4028,874,162.13333333333333
2026-04-26,B,88,93,74,19,20.43010752688172,38,3534,722,142.73333333333332
2026-04-26,C,91,97,82,15,15.463917525773196,38,3686,570,156.03333333333333
2026-04-27,A,164,185,134,51,27.56756756756757,35,6475,1785,159.86666666666667
2026-04-27,B,138,158,114,44,27.848101265822784,40,6320,1760,140.36666666666667
2026-04-27,C,160,178,139,39,21.910112359550563,40,7120,1560,153.26666666666668
2026-04-28,A,165,189,137,52,27.513227513227513,35,6615,1820,160.66666666666666
2026-04-28,B,131,138,115,23,16.666666666666664,40,5520,920,140.46666666666667
2026-04-28,C,161,177,136,41,23.163841807909606,35,6195,1435,153.5
