Date,Department,ProductionUnits
2026-04-05,Maintenance,4104
2026-04-06,Biscuit,44287
2026-04-06,Wafer,20032
2026-04-06,Maintenance,5071
2026-04-07,Biscuit,49360
2026-04-07,Wafer,19609
2026-04-07,Maintenance,5418
2026-04-08,Biscuit,45581
2026-04-08,Wafer,22093
2026-04-08,Maintenance,5487
2026-04-09,Biscuit,48109
2026-04-09,Wafer,20998
2026-04-09,Maintenance,4915
2026-04-10,Biscuit,48933
2026-04-10,Wafer,22127
2026-04-10,Maintenance,4763
2026-04-11,Biscuit,32893
2026-04-11,Wafer,13771
2026-04-11,Maintenance,3962
2026-04-12,Biscuit,29574
2026-04-12,Wafer,15657
2026-04-12,Maintenance,3751
2026-04-13,Biscuit,47631
2026-04-13,Wafer,18509
2026-04-13,Maintenance,5000
2026-04-14,Biscuit,45011
2026-04-14,Wafer,19408
2026-04-14,Maintenance,5080
2026-04-15,Biscuit,45736
2026-04-15,Wafer,21346
2026-04-15,Maintenance,5015
2026-04-16,Biscuit,47513
2026-04-16,Wafer,21222
2026-04-16,Maintenance,4809
2026-04-17,Biscuit,44652
2026-04-17,Wafer,19924
2026-04-17,Maintenance,5088
2026-04-18,Biscuit,31444
2026-04-18,Wafer,15661
2026-04-18,Maintenance,4124
2026-04-19,Biscuit,33886
2026-04-19,Wafer,13796
2026-04-19,Maintenance,3610
2026-04-20,Biscuit,44673
2026-04-20,Wafer,20505
2026-04-20,Maintenance,4795
2026-04-21,Biscuit,47687
2026-04-21,Wafer,21024
2026-04-21,Maintenance,5019
2026-04-22,Biscuit,45712
2026-04-22,Wafer,18808
2026-04-22,Maintenance,4904
2026-04-23,Biscuit,46937
2026-04-23,Wafer,20774
2026-04-23,Maintenance,4774
2026-04-24,Biscuit,45549
2026-04-24,Wafer,18654
2026-04-24,Maintenance,5232
2026-04-25,Biscuit,34520
2026-04-25,Wafer,15063
2026-04-25,Maintenance,3940
2026-04-26,Biscuit,33615
2026-04-26,Wafer,15597
2026-04-26,Maintenance,4079
2026-04-27,Biscuit,45541
2026-04-27,Wafer,20163
2026-04-27,Maintenance,4939
2026-04-28,Biscuit,44988
2026-04-28,Wafer,20485
2026-04-28,Maintenance,5157
2026-04-29,Biscuit,46235
2026-04-29,Wafer,19290
2026-04-29,Maintenance,5260
2026-04-30,Biscuit,45150
2026-04-30,Wafer,19814
2026-04-30,Maintenance,4953
2026-05-01,Biscuit,46158
2026-05-01,Wafer,18703
2026-05-01,Maintenance,4860
2026-05-02,Biscuit,31291
2026-05-02,Wafer,15378
2026-05-02,Maintenance,3975
2026-05-03,Biscuit,35421
2026-05-03,Wafer,14379
2026-05-03,Maintenance,3519
2026-05-04,Biscuit,47147
2026-05-04,Wafer,19537
2026-05-04,Maintenance,5162
2026-05-05,Biscuit,45564
2026-05-05,Wafer,20140
2026-05-05,Maintenance,4891
2026-05-06,Biscuit,47700
2026-05-06,Wafer,20862
2026-05-06,Maintenance,5150
2026-05-07,Biscuit,47278
2026-05-07,Wafer,21307
2026-05-07,Maintenance,5003
2026-05-08,Biscuit,42275
2026-05-08,Wafer,19772
2026-05-08,Maintenance,5231
2026-05-09,Biscuit,32178
2026-05-09,Wafer,14354
2026-05-09,Maintenance,3499
2026-05-10,Biscuit,32505
2026-05-10,Wafer,13683
2026-05-10,Maintenance,3988
2026-05-11,Biscuit,42975
2026-05-11,Wafer,21365
2026-05-11,Maintenance,5032
2026-05-12,Biscuit,44807
2026-05-12,Wafer,20826
2026-05-12,Maintenance,4905
2026-05-13,Biscuit,42638
2026-05-13,Wafer,20757
2026-05-13,Maintenance,4665
2026-05-14,Biscuit,46075
2026-05-14,Wafer,18869
2026-05-14,Maintenance,5135
2026-05-15,Biscuit,46441
2026-05-15,Wafer,21642
2026-05-15,Maintenance,5195
2026-05-16,Biscuit,33632
2026-05-16,Wafer,15658
2026-05-16,Maintenance,3732
2026-05-17,Biscuit,32385
2026-05-17,Wafer,13909
2026-05-17,Maintenance,3873
2026-05-18,Biscuit,45389
2026-05-18,Wafer,20136
2026-05-18,Maintenance,5325
2026-05-19,Biscuit,42923
2026-05-19,Wafer,18812
2026-05-19,Maintenance,5135
2026-05-20,Biscuit,43313
2026-05-20,Wafer,19996
2026-05-20,Maintenance,4975
2026-05-21,Biscuit,48069
2026-05-21,Wafer,21119
2026-05-21,Maintenance,5031
2026-05-22,Biscuit,48694
2026-05-22,Wafer,20145
2026-05-22,Maintenance,5404
2026-05-23,Biscuit,30597
2026-05-23,Wafer,15177
2026-05-23,Maintenance,3892
2026-05-24,Biscuit,32351
2026-05-24,Wafer,14263
2026-05-24,Maintenance,4111
2026-05-25,Biscuit,44017
2026-05-25,Wafer,20085
2026-05-25,Maintenance,5273
2026-05-26,Biscuit,44279
2026-05-26,Wafer,21981
2026-05-26,Maintenance,5569
2026-05-27,Biscuit,44643
2026-05-27,Wafer,19707
2026-05-27,Maintenance,4541
2026-05-28,Biscuit,45572
2026-05-28,Wafer,19757
2026-05-28,Maintenance,5091
2026-05-29,Biscuit,45029
2026-05-29,Wafer,18370
2026-05-29,Maintenance,4903
2026-05-30,Biscuit,35794
2026-05-30,Wafer,15044
2026-05-30,Maintenance,3810
2026-05-31,Biscuit,32398
2026-05-31,Wafer,13505
2026-05-31,Maintenance,3508
2026-06-01,Biscuit,43273
2026-06-01,Wafer,18448
2026-06-01,Maintenance,5040
2026-06-02,Biscuit,40305
2026-06-02,Wafer,20499
2026-06-02,Maintenance,4687
2026-06-03,Biscuit,39690
2026-06-03,Wafer,19074
2026-06-03,Maintenance,4683
2026-06-04,Biscuit,44015
2026-06-04,Wafer,20186
2026-06-04,Maintenance,5038
2026-06-05,Biscuit,45652
2026-06-05,Wafer,18355
2026-06-05,Maintenance,4949
2026-06-06,Biscuit,35909
2026-06-06,Wafer,14437
2026-06-06,Maintenance,3192
2026-06-07,Biscuit,32997
2026-06-07,Wafer,16207
2026-06-07,Maintenance,3654
2026-06-08,Biscuit,46566
2026-06-08,Wafer,19015
2026-06-08,Maintenance,4761
2026-06-09,Biscuit,46278
2026-06-09,Wafer,20882
2026-06-09,Maintenance,5075
2026-06-10,Biscuit,46650
2026-06-10,Wafer,20513
2026-06-10,Maintenance,4987
2026-06-11,Biscuit,47949
2026-06-11,Wafer,19845
2026-06-11,Maintenance,5457
2026-06-12,Biscuit,43823
2026-06-12,Wafer,20419
2026-06-12,Maintenance,4635
2026-06-13,Biscuit,33224
2026-06-13,Wafer,15279
2026-06-13,Maintenance,3423
2026-06-14,Biscuit,31267
2026-06-14,Wafer,14363
2026-06-14,Maintenance,4087
2026-06-15,Biscuit,46474
2026-06-15,Wafer,19224
2026-06-15,Maintenance,5236
2026-06-16,Biscuit,43244
2026-06-16,Wafer,19519
2026-06-16,Maintenance,5435
2026-06-17,Biscuit,45146
2026-06-17,Wafer,21475
2026-06-17,Maintenance,5003
2026-06-18,Biscuit,42484
2026-06-18,Wafer,20086
2026-06-18,Maintenance,5286
2026-06-19,Biscuit,44377
2026-06-19,Wafer,21754
2026-06-19,Maintenance,4789
2026-06-20,Biscuit,35329
2026-06-20,Wafer,13704
2026-06-20,Maintenance,3991
2026-06-21,Biscuit,35862
2026-06-21,Wafer,14489
2026-06-21,Maintenance,3908
2026-06-22,Biscuit,44023
2026-06-22,Wafer,19870
2026-06-22,Maintenance,4887
2026-06-23,Biscuit,44725
2026-06-23,Wafer,20930
2026-06-23,Maintenance,4629
2026-06-24,Biscuit,44336
2026-06-24,Wafer,21543
2026-06-24,Maintenance,5083
2026-06-25,Biscuit,45892
2026-06-25,Wafer,19191
2026-06-25,Maintenance,4910
2026-06-26,Biscuit,47618
2026-06-26,Wafer,19054
2026-06-26,Maintenance,5074
2026-06-27,Biscuit,33934
2026-06-27,Wafer,13875
2026-06-27,Maintenance,3758
2026-06-28,Biscuit,33348
2026-06-28,Wafer,14762
2026-06-28,Maintenance,3664
2026-06-29,Biscuit,51583
2026-06-29,Wafer,20012
2026-06-29,Maintenance,4477
2026-06-30,Biscuit,46006
2026-06-30,Wafer,21011
2026-06-30,Maintenance,5130
